City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,port saint john's,-31.6229,29.5448,289.96,88,38,2.41,ZA,1729727800
83,rongelap,11.1635,166.8941,301.69,79,100,4.98,MH,1729727671
84,georgetown,5.4112,100.3354,300.11,87,20,0.51,MY,1729727802
85,colonia,50.9333,6.95,281.55,94,0,1.54,DE,1729727748
86,punta arenas,-53.15,-70.9167,283.21,62,0,6.17,CL,1729727804
87,coquimbo,-29.9533,-71.3436,288.0,82,20,4.63,CL,1729727806
88,farkhar,36.5729,69.8578,284.16,70,84,0.69,AF,1729727807
89,olonkinbyen,70.9221,-8.7187,272.23,84,100,3.0,SJ,1729727559
90,nyaunglebin,17.95,96.7333,296.08,95,51,1.61,MM,1729727809
91,ust-nera,64.5667,143.2,256.21,95,100,2.05,RU,1729727811
92,bamboo flat,11.7,92.7167,299.2,100,75,0.0,IN,1729727812
93,badger,64.8,-147.5333,273.14,76,100,4.12,US,1729727619
94,vila franca do campo,37.7167,-25.4333,293.38,99,100,5.33,PT,1729727814
95,igarka,67.4667,86.5833,258.05,96,98,4.21,RU,1729727815
96,codrington,-38.2667,141.9667,285.64,55,52,7.39,AU,1729727816
97,georgievka,49.3314,81.5761,280.59,70,100,6.55,KZ,1729727817
98,karratha,-20.7377,116.8463,304.01,35,54,2.93,AU,1729727819
99,mancio lima,-7.6142,-72.8958,297.19,94,75,1.03,BR,1729727821
100,puerto leguizamo,-0.1934,-74.7819,296.78,98,94,1.06,CO,1729727822
101,ribeira grande,38.5167,-28.7,292.47,74,97,4.47,PT,1729727823
102,hithadhoo,-0.6,73.0833,301.12,73,100,5.19,MV,1729727827
103,santa rosa,14.3122,121.1114,300.42,84,100,10.34,PH,1729727828
104,constantia,44.1833,28.65,284.65,84,34,6.07,RO,1729727829
105,minden,52.2833,8.9167,280.01,100,1,0.51,DE,1729727831
106,invercargill,-46.4,168.35,288.16,98,100,3.13,NZ,1729727828
107,lazaro cardenas,17.9583,-102.2,301.29,83,34,2.82,MX,1729727537
108,piskent,40.8972,69.3506,281.68,85,10,2.0,UZ,1729727836
109,brokopondo,4.75,-55.1667,298.51,91,75,1.89,SR,1729727839
110,port lincoln,-34.7333,135.8667,288.54,51,97,4.43,AU,1729727841
111,nadi,-17.8,177.4167,302.15,54,100,3.09,FJ,1729727842
112,auki,-8.7676,160.7034,303.36,63,100,1.12,SB,1729727843
113,tanumah,27.1,44.1333,287.2,32,1,4.51,SA,1729727844
114,erenhot,43.6475,111.9767,278.9,56,18,3.98,CN,1729727845
115,jamestown,42.097,-79.2353,287.95,82,20,4.63,US,1729727847
116,lospalos,-8.5186,127.0025,300.88,59,4,3.63,TL,1729727849
117,fruita,39.1589,-108.729,294.79,41,0,6.69,US,1729727810
118,montepuez,-13.1256,38.9997,293.96,87,33,2.7,MZ,1729727851
119,plouzane,48.3833,-4.6167,285.18,87,0,5.14,FR,1729727856
120,haiku-pauwela,20.9219,-156.3051,300.49,78,100,9.39,US,1729727857
121,haimen,23.1935,116.6142,292.42,65,100,5.78,CN,1729727860
122,enewetak,11.3474,162.3373,301.74,79,64,4.5,MH,1729727867
123,fort st. john,56.2499,-120.8529,278.09,52,40,10.8,CA,1729727869
124,dalhart,36.0595,-102.5133,297.16,31,0,4.34,US,1729727572
125,anadyr,64.75,177.4833,267.43,67,40,8.0,RU,1729727805
126,bichura,50.5881,107.6022,271.02,90,100,0.55,RU,1729727876
127,qaqortoq,60.7167,-46.0333,273.04,81,100,3.64,GL,1729727877
128,slave lake,55.2834,-114.769,279.14,61,20,4.12,CA,1729727878
129,ola,59.5833,151.2833,268.81,47,80,5.35,RU,1729727879
130,riyadh,24.6877,46.7219,294.27,49,68,5.82,SA,1729727881
131,nemuro,43.3236,145.575,288.58,78,0,8.66,JP,1729727882
132,laguna,38.421,-121.4238,301.61,31,0,2.57,US,1729727883
133,lerwick,60.1545,-1.1494,284.45,89,100,10.04,GB,1729727884
134,lebu,-37.6167,-73.65,286.41,86,78,3.22,CL,1729727885
135,jwaneng,-24.6004,24.7303,292.97,23,0,3.7,BW,1729727887
136,east london,-33.0153,27.9116,289.51,88,36,1.93,ZA,1729727888
137,ambon,-3.6954,128.1814,299.23,89,40,2.06,ID,1729727889
138,tazovsky,67.4667,78.7,258.22,91,89,6.14,RU,1729727890
139,okahandja,-21.9833,16.9167,291.79,27,0,2.09,NA,1729727894
140,hasaki,35.7333,140.8333,295.66,85,73,6.64,JP,1729727895
141,manggar,-2.8833,108.2667,300.61,76,96,1.81,ID,1729727896
142,stanley,54.868,-1.6985,283.16,89,0,3.6,GB,1729727897
143,tabou,4.423,-7.3528,298.32,88,92,3.82,CI,1729727901
144,doma,8.3833,8.35,298.76,82,41,0.87,NG,1729727902
145,hanceville,34.0607,-86.7675,295.49,56,0,1.14,US,1729727904
146,nampula,-15.1165,39.2666,293.75,83,39,2.43,MZ,1729727905
147,kill devil hills,36.0307,-75.676,293.14,94,0,0.0,US,1729727906
148,anbu,23.449,116.6809,294.11,56,0,3.0,CN,1729727907
149,alofi,-19.0595,-169.9187,300.09,65,20,8.75,NU,1729727804
150,ndibene dahra,15.3338,-15.4766,301.41,35,81,3.31,SN,1729727910
151,noumea,-22.2763,166.4572,297.71,70,0,5.32,NC,1729727911
152,kruisfontein,-34.0033,24.7314,287.59,92,8,2.54,ZA,1729727912
153,port mathurin,-19.6833,63.4167,296.23,90,100,11.47,MU,1729727914
154,xining,36.6167,101.7667,278.65,48,9,1.64,CN,1729727760
155,luderitz,-26.6481,15.1594,286.79,94,28,3.96,NA,1729727916
156,thompson,55.7435,-97.8558,275.24,87,75,4.63,CA,1729727917
157,ibusuki,31.2333,130.65,295.89,84,100,2.42,JP,1729727918
158,margaret river,-33.95,115.0667,287.65,63,3,1.35,AU,1729727681
159,tak,16.5833,98.8333,294.14,84,26,1.03,TH,1729727920
160,tahe,52.3333,124.7333,269.13,80,45,1.01,CN,1729727922
161,tabas,33.5959,56.9244,291.47,46,3,0.4,IR,1729727924
162,coahuayana de hidalgo,18.7,-103.6583,300.17,88,80,0.33,MX,1729727929
163,mount isa,-20.7333,139.5,309.02,10,17,6.69,AU,1729727930
164,masvingo,-20.0637,30.8277,292.45,78,47,1.39,ZW,1729727931
165,dauphin,51.1494,-100.0502,284.23,43,0,5.14,CA,1729727933
166,saint-francois,46.4154,3.9054,279.84,100,100,1.03,FR,1729727934
167,dubbo,-32.25,148.6167,294.22,40,5,3.6,AU,1729727935
168,wanlaweyn,2.6185,44.8938,298.17,86,28,4.08,SO,1729727936
169,mata-utu,-13.2816,-176.1745,299.46,85,99,9.72,WF,1729727939
170,nguigmi,14.2495,13.1092,301.42,18,2,4.82,NE,1729727940
